Current Team,Last_Name,First_Name,No,Position,Pos_OVR,Pos_Prime,Pos_Second,Yr,Ht,Wt,DOB,Hometown,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,City,State_Province,Country,Captaincy,Shoots
Air Force,Nichol,Hayden,21,F,F,F,,,"6'1""",190.0,2003,"Rochester, NY, USA",73.0,,,,,,Rochester,NY,USA,,R
Air Force,Oliphant,Holt,18,F,F,F,,,"5'10""",190.0,2001,"Northbrook, IL, USA",70.0,,,,,,Northbrook,IL,USA,,R
Air Force,Panchisin,Charles,81,F,F,F,,,"5'10""",174.0,2004,"IL, USA",70.0,,,,,,IL,,USA,,R
Air Force,Remissong,Nicholas,48,F,F,F,,,"6'0""",185.0,2002,"Lake Forest, IL, USA",72.0,,,,,,Lake Forest,IL,USA,,L
Air Force,Sajevic,Nick,23,F,F,F,,,"5'11""",174.0,2003,"Shoreview, MN, USA",71.0,,,,,,Shoreview,MN,USA,,R
Air Force,Stitz,Samuel,27,F,F,F,,,-,,2003,"Perry Hall, MD, USA",,,,,,,Perry Hall,MD,USA,,R
Air Force,Willis,Aidan,72,F,F,F,,,"5'11""",185.0,2005,"Farmington, MN, USA",71.0,,,,,,Farmington,MN,USA,,L
Air Force,Yu,Anthony,9,F,F,F,,,"5'9""",181.0,2004,"Baldwin Park, CA, USA",69.0,,,,,,Baldwin Park,CA,USA,,R
Alaska,Brice,Zakari,31,G,G,G,,,"5'11""",181.0,2003,"Fairbanks, AK, USA",71.0,,,,,,Fairbanks,AK,USA,,L
Alaska,Lehti,Lassi,35,G,G,G,,,"6'4""",209.0,2001,"Espoo, FIN",76.0,,,,,,Espoo,,FIN,,L
Alaska,Vachon,Calvin,32,G,G,G,,,"5'11""",168.0,2005,"Redondo Beach, CA, USA",71.0,,,,,,Redondo Beach,CA,USA,,L
Alaska,Anderson,Jackson,7,D,D,D,,,"6'2""",170.0,2004,"Prior Lake, MN, USA",74.0,,,,,,Prior Lake,MN,USA,,R
Alaska,Barlage,Noah,4,D,D,D,,,"6'0""",185.0,2003,"Humboldt, SK, CAN",72.0,,,,,,Humboldt,SK,CAN,,R
Alaska,Cardona,Adam,12,D,D,D,,,"6'2""",201.0,2003,"Beaconsfield, QC, CAN",74.0,,,,,,Beaconsfield,QC,CAN,,R
Alaska,Dick,Caelum,23,D,D,D,,,"5'10""",183.0,2003,"Sherwood Park, AB, CAN",70.0,,,,,,Sherwood Park,AB,CAN,,R
Alaska,Fleet,William,5,D,D,D,,,"6'2""",205.0,2004,"Denver, CO, USA",74.0,,,,,,Denver,CO,USA,,R
Alaska,Marcil,Hugo,38,D,D,D,,,"5'10""",179.0,2004,"Bourget, ON, CAN",70.0,,,,,,Bourget,ON,CAN,,R
Alaska,Miller,Kyle,34,D,D,D,,,"5'9""",174.0,2004,"San Jose, CA, USA",69.0,,,,,,San Jose,CA,USA,,L
Alaska,Reed,Carson,2,D,D,D,,,"6'0""",194.0,2004,"Warroad, MN, USA",72.0,,,,,,Warroad,MN,USA,,L
Alaska,Rickey,Nathan,26,D,D,D,,,"6'4""",170.0,2003,"New Lenox, IL, USA",76.0,,,,,,New Lenox,IL,USA,,R
Alaska,Sorace,Lucas,27,D,D,D,,,"6'1""",181.0,2004,"Port Moody, BC, CAN",73.0,,,,,,Port Moody,BC,CAN,,L
Alaska,Ahrenholz,Cade,20,RW,F,RW,,,"6'3""",218.0,2002,"Lakeville, MN, USA",75.0,,,,,,Lakeville,MN,USA,,R
Alaska,Birnie,Braden,15,F,F,F,,,"6'3""",192.0,2001,"Weyburn, SK, CAN",75.0,,,,,,Weyburn,SK,CAN,,L
Alaska,Citara,Michael,28,RW,F,RW,,,"5'10""",161.0,2002,"New Hope, PA, USA",70.0,,,,,,New Hope,PA,USA,,R
Alaska,Courtney,Beau,29,F,F,F,,,"5'10""",179.0,2004,"Parker, CO, USA",70.0,,,,,,Parker,CO,USA,,R
Alaska,Cronin,Tommy,14,F,F,F,,,"5'10""",187.0,2004,"Edina, MN, USA",70.0,,,,,,Edina,MN,USA,,R
Alaska,Dafoe,Chase,37,F,F,F,,,"6'3""",201.0,2002,"Beverly, MA, USA",75.0,,,,,,Beverly,MA,USA,,L
Alaska,Danylov,Mykhailo,17,F,F,F,,,"5'7""",152.0,2004,"Kyiv, UKR",67.0,,,,,,Kyiv,,UKR,,L
Alaska,Kruse,Haden,11,F,F,F,,,"6'1""",172.0,2003,"Nisswa, MN, USA",73.0,,,,,,Nisswa,MN,USA,,L
Alaska,Larson,Jhett,6,F,F,F,,,"5'9""",176.0,2004,"Delisle, SK, CAN",69.0,,,,,,Delisle,SK,CAN,,L
Alaska,Lawson-Body,William,10,F,F,F,,,"5'10""",170.0,2002,"Grand Forks, ND, USA",70.0,,,,,,Grand Forks,ND,USA,,R
Alaska,Malinowski,Alexander,25,LW,F,LW,RW,,"5'11""",187.0,2001,"Linköping, SWE",71.0,,,,,,Linköping,,SWE,,L
Alaska,Nikolayenya,Fyodor,13,F,F,F,,,"5'11""",179.0,2003,"Minsk, BLR",71.0,,,,,,Minsk,,BLR,,L
Alaska,Penner,Trenton,16,F,F,F,,,"6'2""",190.0,2003,"Winkler, MB, CAN",74.0,,,,,,Winkler,MB,CAN,,L
Alaska,Platter,Peyton,24,C,F,C,LW,,"6'1""",181.0,2003,"Eau Claire, WI, USA",73.0,,,,,,Eau Claire,WI,USA,,L
Alaska,Roersma,Rylen,18,C,F,C,,,"5'11""",190.0,2004,"Lethbridge, AB, CAN",71.0,,,,,,Lethbridge,AB,CAN,,L
Alaska,Spak,Dean,9,F,F,F,,,"5'10""",181.0,2003,"Calgary, AB, CAN",70.0,,,,,,Calgary,AB,CAN,,L
Alaska,Sydor,Dylan,15,F,F,F,,,"5'10""",170.0,2003,"Kamloops, BC, CAN",70.0,,,,,,Kamloops,BC,CAN,,R
Alaska Anchorage,Krivtsov,Tyler,30,G,G,G,,,"6'2""",190.0,2003,"Santa Clarita, CA, USA",74.0,,,,,,Santa Clarita,CA,USA,,L
Alaska Anchorage,Marks,Bryant,31,G,G,G,,,"6'0""",174.0,2004,"Wasilla, AK, USA",72.0,,,,,,Wasilla,AK,USA,,L
Alaska Anchorage,Orosz,Gergely,33,G,G,G,,,"6'3""",187.0,2002,"Gyõr, HUN",75.0,,,,,,Gyõr,,HUN,,L
Alaska Anchorage,Acheson,Logan,10,D,D,D,,,"5'11""",179.0,2002,"Edmonton, AB, CAN",71.0,,,,,,Edmonton,AB,CAN,,L
Alaska Anchorage,Foglia,Dominic,15,D,D,D,,,"6'1""",190.0,2002,"Tinton Falls, NJ, USA",73.0,,,,,,Tinton Falls,NJ,USA,,L
Alaska Anchorage,Funtek,Pavol,5,D,D,D,,,"6'7""",216.0,2003,"Bratislava, SVK",79.0,,,,,,Bratislava,,SVK,,L
Alaska Anchorage,Gagnon,Nolan,19,D,D,D,,,"5'10""",174.0,2003,"Metcalfe, ON, CAN",70.0,,,,,,Metcalfe,ON,CAN,,R
Alaska Anchorage,Helgeson,Luke,13,D,D,D,,,"6'0""",205.0,2004,"Anchorage, AK, USA",72.0,,,,,,Anchorage,AK,USA,,L
Alaska Anchorage,Jesus,David,25,D,D,D,,,"6'4""",187.0,2002,"Toronto, ON, CAN",76.0,,,,,,Toronto,ON,CAN,,R
Alaska Anchorage,Ménard,Isaac,4,D,D,D,,,"5'10""",174.0,2004,"Trois-Rivières, QC, CAN",70.0,,,,,,Trois-Rivières,QC,CAN,,L
Alaska Anchorage,Potter,Joey,3,D,D,D,,,"5'11""",185.0,2003,"Los Angeles, CA, USA",71.0,,,,,,Los Angeles,CA,USA,,R
Alaska Anchorage,Steele,John-Paul,12,D,D,D,,,"6'2""",201.0,2003,"Franklin, MI, USA",74.0,,,,,,Franklin,MI,USA,,R
Alaska Anchorage,Warrener,Ethan,2,D,D,D,,,"6'1""",187.0,2003,"Calgary, AB, CAN",73.0,,,,,,Calgary,AB,CAN,,L
Alaska Anchorage,Anderson,Ben,21,F,F,F,,,"6'5""",209.0,2002,"Crystal, MN, USA",77.0,,,,,,Crystal,MN,USA,,R
Alaska Anchorage,Bajzer,Tanyon,28,RW,F,RW,,,"6'0""",185.0,2002,"Cleveland, OH, USA",72.0,,,,,,Cleveland,OH,USA,,R
Alaska Anchorage,Bartle,Henry,14,F,F,F,,,"6'2""",183.0,2003,"Blaine, MN, USA",74.0,,,,,,Blaine,MN,USA,,L
Alaska Anchorage,Cole,Conor,9,C,F,C,,,"5'10""",183.0,2001,"St. John's, NL, CAN",70.0,,,,,,St. John's,NL,CAN,,L
Alaska Anchorage,Contreras,Dylan,11,F,F,F,,,"5'7""",170.0,2003,"Yorba Linda, CA, USA",67.0,,,,,,Yorba Linda,CA,USA,,R
Alaska Anchorage,Johnson,Luke,37,LW,F,LW,C,,"5'10""",165.0,2001,"St. Cloud, MN, USA",70.0,,,,,,St. Cloud,MN,USA,,L
Alaska Anchorage,Johnson,Ryan,16,C,F,C,,,"5'10""",181.0,2003,"Calgary, AB, CAN",70.0,,,,,,Calgary,AB,CAN,,R
Alaska Anchorage,Kebreau,Dimitry,27,F,F,F,,,"5'11""",190.0,2003,"Silver Spring, MD, USA",71.0,,,,,,Silver Spring,MD,USA,,L
Alaska Anchorage,Lajoie,Brandon,6,LW,F,LW,,,"5'11""",181.0,2001,"Eagle River, AK, USA",71.0,,,,,,Eagle River,AK,USA,,L
Alaska Anchorage,Makway,Judah,18,C,F,C,,,"6'3""",190.0,2004,"Trail, BC, CAN",75.0,,,,,,Trail,BC,CAN,,L
Alaska Anchorage,McNarland,Karter,43,F,F,F,,,"5'11""",185.0,2003,"Saskatoon, SK, CAN",71.0,,,,,,Saskatoon,SK,CAN,,L
Alaska Anchorage,Monrean,Bryce,17,F,F,F,,,"6'1""",181.0,2003,"Anchorage, AK, USA",73.0,,,,,,Anchorage,AK,USA,,L
Alaska Anchorage,Parsons,Adam,20,F,F,F,,,"6'0""",170.0,2003,"Port Moody, BC, CAN",72.0,,,,,,Port Moody,BC,CAN,,-
Alaska Anchorage,Shtrom,Oren,8,F,F,F,,,"5'10""",185.0,2004,"Dollard-des-Ormeaux, QC, CAN",70.0,,,,,,Dollard-des-Ormeaux,QC,CAN,,L
Alaska Anchorage,Spencer,Tye,29,F,F,F,,,"5'8""",150.0,2004,"Saskatoon, SK, CAN",68.0,,,,,,Saskatoon,SK,CAN,,R
Alaska Anchorage,Westin,Aiden,22,F,F,F,,,"6'1""",185.0,2002,"Anchorage, AK, USA",73.0,,,,,,Anchorage,AK,USA,,R
American Intl,Clark,Chase,34,G,G,G,,,"6'6""",218.0,2002,"Williamsville, NY, USA",78.0,,,,,,Williamsville,NY,USA,,R
American Intl,Grainer,Peyton,33,G,G,G,,,"6'1""",179.0,2002,"Detroit, MI, USA",73.0,,,,,,Detroit,MI,USA,,L
American Intl,Lovullo,Joey,30,G,G,G,,,"6'0""",174.0,2004,"Amherst, NY, USA",72.0,,,,,,Amherst,NY,USA,,L
American Intl,Manji,Adam,1,G,G,G,,,"6'5""",185.0,2003,"New Westminster, BC, CAN",77.0,,,,,,New Westminster,BC,CAN,,L
American Intl,Angesved,Theo,23,D,D,D,,,"5'11""",179.0,2003,"Växjö, SWE",71.0,,,,,,Växjö,,SWE,,R
American Intl,Bamber,Brett,8,D,D,D,,,"5'10""",174.0,2001,"St. Albert, AB, CAN",70.0,,,,,,St. Albert,AB,CAN,,R
American Intl,Dangos,Blake,4,D,D,D,,,"5'10""",174.0,2002,"St. Louis, MO, USA",70.0,,,,,,St. Louis,MO,USA,,L
American Intl,Larsen,Tobias Bjercke,6,D,D,D,,,"6'2""",207.0,2004,"Oslo, NOR",74.0,,,,,,Oslo,,NOR,,L
American Intl,McCurdy,Hunter,26,D,D,D,,,"6'1""",225.0,2001,"Mokena, IL, USA",73.0,,,,,,Mokena,IL,USA,,R
American Intl,Posma,David,12,D,D,D,,,"6'0""",170.0,2003,"Pomona, NY, USA",72.0,,,,,,Pomona,NY,USA,,L
American Intl,Procious,Tyler,2,D,D,D,,,"5'10""",165.0,2003,"Pittsford, NY, USA",70.0,,,,,,Pittsford,NY,USA,,R
American Intl,Sertti,Lauri,5,D,D,D,,,"6'1""",190.0,1999,"Espoo, FIN",73.0,,,,,,Espoo,,FIN,,L
American Intl,Stella,Evan,37,D,D,D,,,"5'11""",181.0,2001,"Karlstad, SWE",71.0,,,,,,Karlstad,,SWE,C,L
American Intl,Wallace,Nicky,15,D,D,D,,,"5'8""",165.0,2003,"Atlantic Highlands, NJ, USA",68.0,,,,,,Atlantic Highlands,NJ,USA,,L
American Intl,Willick,Tanner,3,D,D,D,,,"5'9""",157.0,2003,"Saskatoon, SK, CAN",69.0,,,,,,Saskatoon,SK,CAN,,L
American Intl,Andersson,Douglas,14,LW,F,LW,,,"6'6""",209.0,2002,"Ängelholm, SWE",78.0,,,,,,Ängelholm,,SWE,,L
American Intl,Barnes,Joshua,27,C,F,C,,,"5'10""",185.0,2002,"Cornwall, ON, CAN",70.0,,,,,,Cornwall,ON,CAN,,L
American Intl,Beljo,Dario,39,C,F,C,,,"6'3""",190.0,2002,"Sudbury, ON, CAN",75.0,,,,,,Sudbury,ON,CAN,,L
American Intl,Biro,Jordan,19,C,F,C,,,"5'8""",161.0,2000,"Sherwood Park, AB, CAN",68.0,,,,,,Sherwood Park,AB,CAN,A,L
American Intl,Forsberg,Wilhelm,24,RW,F,RW,,,"6'3""",190.0,2004,"Sollentuna, SWE",75.0,,,,,,Sollentuna,,SWE,,R
American Intl,Geschwind,Oscar,17,F,F,F,,,"6'0""",196.0,2001,"Karlstad, SWE",72.0,,,,,,Karlstad,,SWE,,L
American Intl,Jones,Hunter,13,F,F,F,,,"5'10""",190.0,2002,"Andover, MN, USA",70.0,,,,,,Andover,MN,USA,,L
American Intl,Khokhlachyov,Timofei,22,LW,F,LW,,,"6'4""",216.0,2001,"Moskva, RUS",76.0,,,,,,Moskva,,RUS,A,L
American Intl,Korzhyletskyi,Danylo,16,F,F,F,,,"6'1""",185.0,2003,"Kyiv, UKR",73.0,,,,,,Kyiv,,UKR,,R
American Intl,Lindberg,Alfred,28,C,F,C,,,"5'11""",187.0,2002,"Hallsberg, SWE",71.0,,,,,,Hallsberg,,SWE,A,L
American Intl,Longhi,Hunter,9,LW,F,LW,,,"5'8""",174.0,2002,"Collinsville, IL, USA",68.0,,,,,,Collinsville,IL,USA,,L
American Intl,Lundy,John,21,F,F,F,,,"5'9""",163.0,2001,"Brooklyn, NY, USA",69.0,,,,,,Brooklyn,NY,USA,,L
American Intl,Malinowski,Alexander,25,LW,F,LW,RW,,"5'11""",187.0,2001,"Linköping, SWE",71.0,,,,,,Linköping,,SWE,A,L
American Intl,McDonald,Casey,61,F,F,F,,,"6'1""",185.0,2001,"Kindersley, SK, CAN",73.0,,,,,,Kindersley,SK,CAN,C,R
American Intl,Mexico,Justin,11,F,F,F,,,"5'10""",165.0,2003,"Madison Heights, MI, USA",70.0,,,,,,Madison Heights,MI,USA,,L
American Intl,Rylance,Brett,55,C,F,C,,,"5'9""",181.0,2001,"Edmonton, AB, CAN",69.0,,,,,,Edmonton,AB,CAN,,L
American Intl,Serdachny,Noah,29,F,F,F,,,"6'1""",190.0,2003,"Edmonton, AB, CAN",73.0,,,,,,Edmonton,AB,CAN,,R
American Intl,Weight,Danny,7,C,F,C,,,"6'0""",185.0,2001,"Edmonton, AB, CAN",72.0,,,,,,Edmonton,AB,CAN,,L
American Int'l,Clark,Chase,34,G,G,G,,,"6'6""",218.0,2002,"Williamsville, NY, USA",78.0,,,,,,Williamsville,NY,USA,,R
American Int'l,Grainer,Peyton,33,G,G,G,,,"6'1""",179.0,2002,"Detroit, MI, USA",73.0,,,,,,Detroit,MI,USA,,L
American Int'l,Lovullo,Joey,30,G,G,G,,,"6'0""",174.0,2004,"Amherst, NY, USA",72.0,,,,,,Amherst,NY,USA,,L
American Int'l,Manji,Adam,1,G,G,G,,,"6'5""",185.0,2003,"New Westminster, BC, CAN",77.0,,,,,,New Westminster,BC,CAN,,L
American Int'l,Angesved,Theo,23,D,D,D,,,"5'11""",179.0,2003,"Växjö, SWE",71.0,,,,,,Växjö,,SWE,,R
American Int'l,Bamber,Brett,8,D,D,D,,,"5'10""",174.0,2001,"St. Albert, AB, CAN",70.0,,,,,,St. Albert,AB,CAN,,R
American Int'l,Dangos,Blake,4,D,D,D,,,"5'10""",174.0,2002,"St. Louis, MO, USA",70.0,,,,,,St. Louis,MO,USA,,L
American Int'l,Larsen,Tobias Bjercke,6,D,D,D,,,"6'2""",207.0,2004,"Oslo, NOR",74.0,,,,,,Oslo,,NOR,,L
American Int'l,McCurdy,Hunter,26,D,D,D,,,"6'1""",225.0,2001,"Mokena, IL, USA",73.0,,,,,,Mokena,IL,USA,,R
American Int'l,Posma,David,12,D,D,D,,,"6'0""",170.0,2003,"Pomona, NY, USA",72.0,,,,,,Pomona,NY,USA,,L
American Int'l,Procious,Tyler,2,D,D,D,,,"5'10""",165.0,2003,"Pittsford, NY, USA",70.0,,,,,,Pittsford,NY,USA,,R
American Int'l,Sertti,Lauri,5,D,D,D,,,"6'1""",190.0,1999,"Espoo, FIN",73.0,,,,,,Espoo,,FIN,,L
American Int'l,Stella,Evan,37,D,D,D,,,"5'11""",181.0,2001,"Karlstad, SWE",71.0,,,,,,Karlstad,,SWE,C,L
American Int'l,Wallace,Nicky,15,D,D,D,,,"5'8""",165.0,2003,"Atlantic Highlands, NJ, USA",68.0,,,,,,Atlantic Highlands,NJ,USA,,L
American Int'l,Willick,Tanner,3,D,D,D,,,"5'9""",157.0,2003,"Saskatoon, SK, CAN",69.0,,,,,,Saskatoon,SK,CAN,,L
American Int'l,Andersson,Douglas,14,LW,F,LW,,,"6'6""",209.0,2002,"Ängelholm, SWE",78.0,,,,,,Ängelholm,,SWE,,L
American Int'l,Barnes,Joshua,27,C,F,C,,,"5'10""",185.0,2002,"Cornwall, ON, CAN",70.0,,,,,,Cornwall,ON,CAN,,L
American Int'l,Beljo,Dario,39,C,F,C,,,"6'3""",190.0,2002,"Sudbury, ON, CAN",75.0,,,,,,Sudbury,ON,CAN,,L
American Int'l,Biro,Jordan,19,C,F,C,,,"5'8""",161.0,2000,"Sherwood Park, AB, CAN",68.0,,,,,,Sherwood Park,AB,CAN,A,L
American Int'l,Forsberg,Wilhelm,24,RW,F,RW,,,"6'3""",190.0,2004,"Sollentuna, SWE",75.0,,,,,,Sollentuna,,SWE,,R
American Int'l,Geschwind,Oscar,17,F,F,F,,,"6'0""",196.0,2001,"Karlstad, SWE",72.0,,,,,,Karlstad,,SWE,,L
American Int'l,Jones,Hunter,13,F,F,F,,,"5'10""",190.0,2002,"Andover, MN, USA",70.0,,,,,,Andover,MN,USA,,L
American Int'l,Khokhlachyov,Timofei,22,LW,F,LW,,,"6'4""",216.0,2001,"Moskva, RUS",76.0,,,,,,Moskva,,RUS,A,L
American Int'l,Korzhyletskyi,Danylo,16,F,F,F,,,"6'1""",185.0,2003,"Kyiv, UKR",73.0,,,,,,Kyiv,,UKR,,R
American Int'l,Lindberg,Alfred,28,C,F,C,,,"5'11""",187.0,2002,"Hallsberg, SWE",71.0,,,,,,Hallsberg,,SWE,A,L
American Int'l,Longhi,Hunter,9,LW,F,LW,,,"5'8""",174.0,2002,"Collinsville, IL, USA",68.0,,,,,,Collinsville,IL,USA,,L
American Int'l,Lundy,John,21,F,F,F,,,"5'9""",163.0,2001,"Brooklyn, NY, USA",69.0,,,,,,Brooklyn,NY,USA,,L
American Int'l,Malinowski,Alexander,25,LW,F,LW,RW,,"5'11""",187.0,2001,"Linköping, SWE",71.0,,,,,,Linköping,,SWE,A,L
American Int'l,McDonald,Casey,61,F,F,F,,,"6'1""",185.0,2001,"Kindersley, SK, CAN",73.0,,,,,,Kindersley,SK,CAN,C,R
American Int'l,Mexico,Justin,11,F,F,F,,,"5'10""",165.0,2003,"Madison Heights, MI, USA",70.0,,,,,,Madison Heights,MI,USA,,L
American Int'l,Rylance,Brett,55,C,F,C,,,"5'9""",181.0,2001,"Edmonton, AB, CAN",69.0,,,,,,Edmonton,AB,CAN,,L
American Int'l,Serdachny,Noah,29,F,F,F,,,"6'1""",190.0,2003,"Edmonton, AB, CAN",73.0,,,,,,Edmonton,AB,CAN,,R
American Int'l,Weight,Danny,7,C,F,C,,,"6'0""",185.0,2001,"Edmonton, AB, CAN",72.0,,,,,,Edmonton,AB,CAN,,L
Arizona State,Hamm,Chase,30,G,G,G,,,"5'9""",168.0,2002,"Saskatoon, SK, CAN",69.0,,,,,,Saskatoon,SK,CAN,,L
Arizona State,Hasley,Connor,33,G,G,G,,,"6'3""",194.0,2001,"North Tonawanda, NY, USA",75.0,,,,,,North Tonawanda,NY,USA,,R
Arizona State,Urban,Samuel,31,G,G,G,,,"6'0""",198.0,2005,"Dolne Kockovce, SVK",72.0,,,,,,Dolne Kockovce,,SVK,,L
Arizona State,Baran,Richard,5,D,D,D,,,"6'1""",185.0,2005,"Bratislava, SVK",73.0,,,,,,Bratislava,,SVK,,L
Arizona State,Boser,Brasen,74,D,D,D,,,"5'11""",176.0,2004,"Minot, ND, USA",71.0,,,,,,Minot,ND,USA,,L
Arizona State,Court,Sam,37,D,D,D,,,"5'10""",190.0,2004,"Winnipeg, MB, CAN",70.0,,,,,,Winnipeg,MB,CAN,,R
Arizona State,Dowd,Anthony,9,D,D,D,,,"5'7""",152.0,2003,"Point Pleasant Beach, NJ, USA",67.0,,,,,,Point Pleasant Beach,NJ,USA,,R
Arizona State,Kipkie,Justin,3,D,D,D,,,"6'4""",207.0,2005,"Calgary, AB, CAN",76.0,,,,,,Calgary,AB,CAN,,L
Arizona State,Kjellberg,Joel,7,D,D,D,,,"6'0""",190.0,2004,"Nacka, SWE",72.0,,,,,,Nacka,,SWE,,R
Arizona State,Kuehne,Lincoln,11,D,D,D,,,"6'2""",201.0,2007,"Fargo, ND, USA",74.0,,,,,,Fargo,ND,USA,,R
Arizona State,Ness,Tucker,10,D,D,D,,,"6'3""",218.0,2002,"Plymouth, MN, USA",75.0,,,,,,Plymouth,MN,USA,,R
Arizona State,Zemlak,Austin,4,D,D,D,,,"6'1""",185.0,2005,"Fort McMurray, AB, CAN",73.0,,,,,,Fort McMurray,AB,CAN,,L
Arizona State,Achille,Tony,89,F,F,F,,,"6'0""",174.0,2002,"Hingham, MA, USA",72.0,,,,,,Hingham,MA,USA,,L
Arizona State,Alfano,Sam,27,RW,F,RW,,,"6'4""",205.0,2004,"Hamilton, ON, CAN",76.0,,,,,,Hamilton,ON,CAN,,R
Arizona State,Cloutier,Justin,24,RW,F,RW,,,"5'9""",187.0,2005,"Ottawa, ON, CAN",69.0,,,,,,Ottawa,ON,CAN,,R
Arizona State,Crandell,Carmelo,14,F,F,F,,,"5'11""",176.0,2005,"St. Albert, AB, CAN",71.0,,,,,,St. Albert,AB,CAN,,R
Arizona State,Kevan,Benjamin,48,RW,F,RW,,,"6'1""",179.0,2007,"Fairfield, CA, USA",73.0,,,,,,Fairfield,CA,USA,,R
Arizona State,Lucius,Cruz,51,RW,F,RW,,,"6'0""",179.0,2004,"Lawrence, KS, USA",72.0,,,,,,Lawrence,KS,USA,,R
Arizona State,McGurn,Sean,16,C,F,C,,,"5'10""",170.0,2002,"Ottawa, ON, CAN",70.0,,,,,,Ottawa,ON,CAN,,R
Arizona State,Morrell,Logan,19,RW,F,RW,LW,,"6'3""",194.0,2003,"Mesa, AZ, USA",75.0,,,,,,Mesa,AZ,USA,,R
Arizona State,Nash,Ty,22,C,F,C,,,"5'11""",179.0,2003,"Scottsdale, AZ, USA",71.0,,,,,,Scottsdale,AZ,USA,,L
Arizona State,Potter,Cullen,12,C,F,C,LW,,"5'10""",172.0,2007,"Minneapolis, MN, USA",70.0,,,,,,Minneapolis,MN,USA,,L
Arizona State,Powell,Noah,15,RW,F,RW,,,"6'2""",201.0,2005,"Northbrook, IL, USA",74.0,,,,,,Northbrook,IL,USA,,R
